"","Main","Set","Type","mean","confL","confU"
"1",1,"Ma + HCI","h1=Normal, Co=Normal",0.0828833333333333,0.0787118491273949,0.0870548175392718
"2",1,"Ma + HCI","h1=Binary, Co=Binary",0.0733333333333333,0.0700372183493889,0.0766294483172777
"3",1,"Ma + CCI","h1=Normal, Co=Normal",0.04925,0.04532575513908,0.05317424486092
"4",1,"Ma + CCI","h1=Binary, Co=Binary",0.04845,0.0445798311425759,0.0523201688574241
"5",1,"Ma","h1=Normal, Co=Normal",0.0474,0.0435687464087327,0.0512312535912673
"6",1,"Ma + HCI + CCI","h1=Normal, Co=Normal",0.0813833333333333,0.0771548296096836,0.0856118370569831
"7",1,"Ma","h1=Binary, Co=Binary",0.0501666666666667,0.0462360086110717,0.0540973247222616
"8",1,"Ma + HCI + CCI","h1=Binary, Co=Binary",0.0724833333333333,0.0691454444975996,0.0758212221690671
"9",2,"HCI","h1=Normal, Co=Normal",0.0847666666666667,0.0806047466193005,0.0889285867140329
"10",2,"Ma + HCI","h1=Normal, Co=Normal",0.101153333333333,0.0967170470002874,0.105589619666379
"11",2,"HCI","h1=Binary, Co=Binary",0.34365,0.339494827755893,0.347805172244107
"12",2,"Ma + HCI","h1=Binary, Co=Binary",0.317593333333333,0.313919910129971,0.321266756536696
"13",2,"CCI","h1=Normal, Co=Normal",0.0494,0.0455556316954131,0.0532443683045869
"14",2,"Ma + CCI","h1=Normal, Co=Normal",0.0503285714285714,0.0464569008840444,0.0542002419730985
"15",2,"CCI","h1=Binary, Co=Binary",0.049975,0.0460228572814991,0.0539271427185009
"16",2,"Ma + CCI","h1=Binary, Co=Binary",0.0528857142857143,0.0488198329898461,0.0569515955815825
"17",2,"Ma","h1=Normal, Co=Normal",0.0449666666666667,0.0412524182889054,0.0486809150444279
"18",2,"Ma + HCI + CCI","h1=Normal, Co=Normal",0.0974416666666667,0.0929813463244525,0.101901987008881
"19",2,"HCI + CCI","h1=Normal, Co=Normal",0.0888333333333333,0.0845972028870775,0.0930694637795892
"20",2,"Ma","h1=Binary, Co=Binary",0.0503,0.0463537337160167,0.0542462662839833
"21",2,"Ma + HCI + CCI","h1=Binary, Co=Binary",0.141508333333333,0.137872095444145,0.145144571222522
"22",2,"HCI + CCI","h1=Binary, Co=Binary",0.129133333333333,0.125065896077869,0.133200770588797
