"","Main","Set","Type","Pr.x","Sde.x","OutlierExclusion.x","Pr.y","Sde.y","OutlierExclusion.y","diff"
"1","Main = FALSE","Ma","h1=Binary, Co=Binary","0.12525","0.00523425818427835","TRUE","0.08425","0.00439235786075022","FALSE","0.041"
"2","Main = FALSE","Ma","h1=Normal, Co=Normal","0.16025","0.00580093932904619","TRUE","0.08675","0.00445096193429411","FALSE","0.0735"
"3","Main = FALSE","HCI","h1=Binary, Co=Binary","0.96675","0.00283515765077115","TRUE","0.94025","0.00374813240149341","FALSE","0.0265"
"4","Main = FALSE","HCI","h1=Normal, Co=Normal","0.481","0.00790097186041596","TRUE","0.25375","0.00688128421103926","FALSE","0.22725"
"5","Main = FALSE","CCI","h1=Binary, Co=Binary","0.13925","0.00547470113002671","TRUE","0.08125","0.00432050645978191","FALSE","0.058"
"6","Main = FALSE","CCI","h1=Normal, Co=Normal","0.17175","0.00596421640656475","TRUE","0.093","0.00459271414915124","FALSE","0.07875"
"7","Main = FALSE","Ma + HCI","h1=Binary, Co=Binary","0.985","0.00192215339357115","TRUE","0.973","0.00256308258705938","FALSE","0.012"
"8","Main = FALSE","Ma + HCI","h1=Normal, Co=Normal","0.60375","0.00773459374240755","TRUE","0.3615","0.00759729341389446","FALSE","0.24225"
"9","Main = FALSE","Ma + CCI","h1=Binary, Co=Binary","0.1535","0.00570022461313237","TRUE","0.086","0.00443349906715842","FALSE","0.0675"
"10","Main = FALSE","Ma + CCI","h1=Normal, Co=Normal","0.19175","0.00622536530400362","TRUE","0.08825","0.00448558964949157","FALSE","0.1035"
"11","Main = FALSE","HCI + CCI","h1=Binary, Co=Binary","0.963","0.00298495854148321","TRUE","0.927","0.00411363349061675","FALSE","0.0359999999999999"
"12","Main = FALSE","HCI + CCI","h1=Normal, Co=Normal","0.54","0.00788134055108777","TRUE","0.30625","0.00728893109475772","FALSE","0.23375"
"13","Main = FALSE","Ma + HCI + CCI","h1=Binary, Co=Binary","0.98025","0.00220027149999004","TRUE","0.95775","0.00318100048192648","FALSE","0.0225"
"14","Main = FALSE","Ma + HCI + CCI","h1=Normal, Co=Normal","0.66575","0.00745960091334963","TRUE","0.423","0.00781236252692251","FALSE","0.24275"
"15","Main = TRUE","Ma","h1=Binary, Co=Binary","0.12675","0.00526099124521421","TRUE","0.08125","0.00432050645978191","FALSE","0.0455"
"16","Main = TRUE","Ma","h1=Normal, Co=Normal","0.15675","0.00574918452092676","TRUE","0.0845","0.00439826939754983","FALSE","0.07225"
"17","Main = TRUE","Ma + HCI","h1=Binary, Co=Binary","0.4415","0.00785237877735886","TRUE","0.309","0.00730705811353438","FALSE","0.1325"
"18","Main = TRUE","Ma + HCI","h1=Normal, Co=Normal","0.48675","0.00790390582603479","TRUE","0.285","0.00713838140773387","FALSE","0.20175"
"19","Main = TRUE","Ma + CCI","h1=Binary, Co=Binary","0.13625","0.00542483562750028","TRUE","0.076","0.00419051191354044","FALSE","0.06025"
"20","Main = TRUE","Ma + CCI","h1=Normal, Co=Normal","0.171","0.0059538737098664","TRUE","0.0835","0.0043745538835886","FALSE","0.0875"
"21","Main = TRUE","Ma + HCI + CCI","h1=Binary, Co=Binary","0.493","0.0079059076546568","TRUE","0.34025","0.00749226386878291","FALSE","0.15275"
"22","Main = TRUE","Ma + HCI + CCI","h1=Normal, Co=Normal","0.54125","0.00787972917732437","TRUE","0.30625","0.00728893109475772","FALSE","0.235"
